,cov_grid,cov_pix
20230710_100625,0.0,0.0
20230710_103905,1.7875999999999999,1.7129898071289062
20230710_103941,1.9512,1.86614990234375
20230710_104141,0.6248,0.5933761596679688
20230710_104226,4.7332,4.5200347900390625
20230710_123430,0.848,0.8399009704589844
20230710_125418,2.8272,2.70233154296875
20230710_130141,0.7628,0.7616996765136719
20230710_130743,6.757199999999999,6.514263153076172
P7100010,0.89,0.8254051208496094
P7100017,0.676,0.6258964538574219
P7100031,0.8932000000000001,0.8571624755859375
P7100045,0.8468,0.8230209350585938
P7100051,4.4392000000000005,4.3914794921875
P7100055,2.334,2.253246307373047
P7100056,2.19,2.158832550048828
P7100059,3.5428,3.45306396484375
P7100061,0.516,0.49648284912109375
P7100062,1.3516,1.2999534606933594
P7100068,1.1044,1.0557174682617188
P7100077,0.41960000000000003,0.3765106201171875
P7100080,1.302,1.23443603515625
halimeda_112,2.5919999999999996,2.5382041931152344
halimeda_116,1.8396,1.7915725708007812
halimeda_118,0.9967999999999999,0.9713172912597656
halimeda_120,0.40280000000000005,0.391387939453125
halimeda_135,7.6732,7.246208190917969
halimeda_141,2.002,1.8527984619140625
halimeda_147,3.588,3.4036636352539062
halimeda_15,5.5252,5.379676818847656
halimeda_151,1.2564,1.1676788330078125
halimeda_153,2.3044,2.2255897521972656
halimeda_159,0.0,0.0
halimeda_160,1.6016,1.5141487121582031
halimeda_167,1.5568,1.45263671875
halimeda_172,0.6728,0.652313232421875
halimeda_173,2.0436,1.8849372863769531
halimeda_176,1.5368,1.4727592468261719
halimeda_179,6.1988,5.986309051513672
halimeda_18,16.2776,15.8905029296875
halimeda_183,1.1556,1.0497093200683594
halimeda_185,3.4356,3.2576560974121094
halimeda_190,3.58,3.3997535705566406
halimeda_196,3.7272,3.6382675170898438
halimeda_211,2.5596,2.4400711059570312
halimeda_214,5.614,5.349445343017578
halimeda_216,5.0284,4.7931671142578125
halimeda_222,5.7144,5.506420135498047
halimeda_223,0.0,0.0
halimeda_224,0.0,0.0
halimeda_233,0.07680000000000001,0.07867813110351562
halimeda_245,3.0448,2.8736114501953125
halimeda_255,3.3812,3.274250030517578
halimeda_259,9.024799999999999,8.570480346679688
halimeda_263,12.3492,11.918163299560547
halimeda_266,2.7024,2.601909637451172
halimeda_27,3.9196,3.805255889892578
halimeda_275,0.0,0.0
halimeda_28,7.19,7.011890411376953
halimeda_280,0.0,0.0
halimeda_285,0.0,0.0
halimeda_32,0.9900000000000001,0.9367942810058594
halimeda_34,0.5084,0.5064010620117188
halimeda_36,5.75,5.591773986816406
halimeda_39,1.9008,1.8511772155761719
halimeda_46,4.2732,4.128837585449219
halimeda_51,0.46759999999999996,0.4443168640136719
halimeda_57,0.6876,0.6303787231445312
halimeda_59,3.7699999999999996,3.5663604736328125
halimeda_6,0.0,0.0
halimeda_7,0.0,0.0
halimeda_83,8.1968,8.003520965576172
halimeda_90,12.498800000000001,12.156963348388672
