gt all test,,,,od all test,,,,
,cov_grid,cov_pix,,,cov_grid,cov_pix,diff,abs_diff
P7100089_cov,0.316333771,0.316333771,,P7100089_cov,0.62046051,0.62046051,0.304126739,0.304126739
P7120097_cov,1.014709473,1.014709473,,P7120097_cov,1.037979126,1.037979126,0.023269653,0.023269653
P9290671_gt,62.33730316,62.33730316,,P9290671_cov,6.978321075,6.978321075,-55.35898209,55.35898209
P9290672_gt,78.38792801,78.38792801,,P9290672_cov,5.945682526,5.945682526,-72.44224548,72.44224548
P9290674_gt,63.04588318,63.04588318,,P9290674_cov,13.00802231,13.00802231,-50.03786087,50.03786087
P9290685_gt,100,100,,P9290685_cov,2.114009857,2.114009857,-97.88599014,97.88599014
P9290717_gt,96.74901962,96.74901962,,P9290717_cov,5.798244476,5.798244476,-90.95077514,90.95077514
P9290719_gt,100,100,,P9290719_cov,6.940746307,6.940746307,-93.05925369,93.05925369
P9290729_gt,70.84941864,70.84941864,,P9290729_cov,2.748203278,2.748203278,-68.10121536,68.10121536
P9290732_gt,42.03767776,42.03767776,,P9290732_cov,1.163291931,1.163291931,-40.87438583,40.87438583
P9290733_gt,53.3288002,53.3288002,,P9290733_cov,1.450252533,1.450252533,-51.87854767,51.87854767
P9290745_gt,76.56478882,76.56478882,,P9290745_cov,0.802707672,0.802707672,-75.76208115,75.76208115
P9290746_gt,68.25799942,68.25799942,,P9290746_cov,1.693916321,1.693916321,-66.5640831,66.5640831
P9290750_gt,70.04423141,70.04423141,,P9290750_cov,1.224899292,1.224899292,-68.81933212,68.81933212
P9290755_gt,65.27957916,65.27957916,,P9290755_cov,5.74054718,5.74054718,-59.53903198,59.53903198
P9290756_gt,100,100,,P9290756_cov,11.91806793,11.91806793,-88.08193207,88.08193207
PA210060_gt,77.76050568,77.76050568,,PA210060_cov,10.13689041,10.13689041,-67.62361527,67.62361527
PA210086_gt,45.23324966,45.23324966,,PA210086_cov,7.330703735,7.330703735,-37.90254593,37.90254593
PA210087_gt,64.25600052,64.25600052,,PA210087_cov,7.55815506,7.55815506,-56.69784546,56.69784546
PA210131_gt,54.04510498,54.04510498,,PA210131_cov,10.15386581,10.15386581,-43.89123917,43.89123917
PA210144_gt,24.7759819,24.7759819,,PA210144_cov,4.483699799,4.483699799,-20.2922821,20.2922821
PA210186_gt,78.76558304,78.76558304,,PA210186_cov,18.54791641,18.54791641,-60.21766663,60.21766663
PA210191_gt,79.03423309,79.03423309,,PA210191_cov,15.11678696,15.11678696,-63.91744613,63.91744613
PA210193_gt,68.33715439,68.33715439,,PA210193_cov,15.31772614,15.31772614,-53.01942825,53.01942825
PA210194_gt,49.71141815,49.71141815,,PA210194_cov,11.95306778,11.95306778,-37.75835037,37.75835037
PA210272_gt,77.80046463,77.80046463,,PA210272_cov,11.62366867,11.62366867,-66.17679596,66.17679596
background_h_49_gt,0,0,,background_h_49_cov,0,0,0,0
background_h_55_gt,0,0,,background_h_55_cov,0,0,0,0
bckgrnd_30546_gt,0,0,,bckgrnd_30546_cov,0,0,0,0
bio_P9172058_gt,61.03134155,61.03134155,,bio_P9172058_cov,18.88275146,18.88275146,-42.14859009,42.14859009
hali_web_3_gt,54.53367233,54.53367233,,hali_web_3_cov,34.12132263,34.12132263,-20.4123497,20.4123497
halimeda_103_cov,3.481292725,3.481292725,,halimeda_103_cov,2.97870636,2.97870636,-0.502586365,0.502586365
halimeda_104_cov,4.923534393,4.923534393,,halimeda_104_cov,5.910396576,5.910396576,0.986862183,0.986862183
halimeda_107_cov,5.638027191,5.638027191,,halimeda_107_cov,6.79731369,6.79731369,1.159286499,1.159286499
halimeda_113_cov,5.464553833,5.464553833,,halimeda_113_cov,8.598613739,8.598613739,3.134059906,3.134059906
halimeda_115_cov,7.689857483,7.689857483,,halimeda_115_cov,7.771492004,7.771492004,0.081634521,0.081634521
halimeda_125_cov,49.47147369,49.47147369,,halimeda_125_cov,4.935073853,4.935073853,-44.53639984,44.53639984
halimeda_139_cov,1.800823212,1.800823212,,halimeda_139_cov,1.927661896,1.927661896,0.126838684,0.126838684
halimeda_140_cov,0.594806671,0.594806671,,halimeda_140_cov,0.664520264,0.664520264,0.069713593,0.069713593
halimeda_154_cov,0.808811188,0.808811188,,halimeda_154_cov,0.998401642,0.998401642,0.189590454,0.189590454
halimeda_174_cov,4.295349121,4.295349121,,halimeda_174_cov,4.447841644,4.447841644,0.152492523,0.152492523
halimeda_177_cov,4.150772095,4.150772095,,halimeda_177_cov,4.947185516,4.947185516,0.796413421,0.796413421
halimeda_192_cov,1.481819153,1.481819153,,halimeda_192_cov,2.35004425,2.35004425,0.868225097,0.868225097
halimeda_200_cov,0.850486755,0.850486755,,halimeda_200_cov,0.817871094,0.817871094,-0.032615661,0.032615661
halimeda_201_cov,1.196193695,1.196193695,,halimeda_201_cov,1.41248703,1.41248703,0.216293335,0.216293335
halimeda_206_cov,2.48041153,2.48041153,,halimeda_206_cov,2.638626099,2.638626099,0.158214569,0.158214569
halimeda_20_cov,5.203914642,5.203914642,,halimeda_20_cov,3.818225861,3.818225861,-1.385688781,1.385688781
halimeda_217_cov,3.965187073,3.965187073,,halimeda_217_cov,4.868125916,4.868125916,0.902938843,0.902938843
halimeda_219_cov,2.404880524,2.404880524,,halimeda_219_cov,3.985118866,3.985118866,1.580238342,1.580238342
halimeda_230_cov,1.651573181,1.651573181,,halimeda_230_cov,3.238010406,3.238010406,1.586437225,1.586437225
halimeda_236_cov,0,0,,halimeda_236_cov,0,0,0,0
halimeda_237_cov,0,0,,halimeda_237_cov,0,0,0,0
halimeda_238_cov,0,0,,halimeda_238_cov,2.993583679,2.993583679,2.993583679,2.993583679
halimeda_24_cov,4.665565491,4.665565491,,halimeda_24_cov,4.196548462,4.196548462,-0.469017029,0.469017029
halimeda_252_cov,4.658031464,4.658031464,,halimeda_252_cov,2.144050598,2.144050598,-2.513980866,2.513980866
halimeda_254_cov,6.451797485,6.451797485,,halimeda_254_cov,8.905887604,8.905887604,2.454090119,2.454090119
halimeda_25_cov,1.037311554,1.037311554,,halimeda_25_cov,0.738716125,0.738716125,-0.298595429,0.298595429
halimeda_264_cov,17.92755127,17.92755127,,halimeda_264_cov,16.05634689,16.05634689,-1.87120438,1.87120438
halimeda_273_cov,4.767131805,4.767131805,,halimeda_273_cov,2.684879303,2.684879303,-2.082252502,2.082252502
halimeda_277_cov,0,0,,halimeda_277_cov,0,0,0,0
halimeda_282_cov,0,0,,halimeda_282_cov,0,0,0,0
halimeda_291_cov,0,0,,halimeda_291_cov,0,0,0,0
halimeda_31_SS_gt,39.87522125,39.87522125,,halimeda_31_SS_cov,13.46654892,13.46654892,-26.40867233,26.40867233
halimeda_31_cov,0.130653381,0.130653381,,halimeda_31_cov,0.150203705,0.150203705,0.019550324,0.019550324
halimeda_33_gt,51.08385086,51.08385086,,halimeda_33_cov,21.38023376,21.38023376,-29.7036171,29.7036171
halimeda_3_cov,9.522914886,9.522914886,,halimeda_3_cov,7.701206207,7.701206207,-1.821708679,1.821708679
halimeda_47_cov,0.81653595,0.81653595,,halimeda_47_cov,0.961208344,0.961208344,0.144672394,0.144672394
halimeda_50_cov,0.949287415,0.949287415,,halimeda_50_cov,1.42621994,1.42621994,0.476932525,0.476932525
