,cov_grid,cov_pix
20230710_102346,0.8200000000000001,0.7740020751953125
20230710_102609,0.5368,0.5235671997070312
20230710_102612,0.49160000000000004,0.47092437744140625
20230710_104223,7.0632,6.840324401855469
20230710_104234,4.3504000000000005,4.2530059814453125
20230710_104638,0.104,0.09670257568359375
20230710_125957,1.4584,1.4352798461914062
20230710_130122,1.0156,0.9817123413085938
20230710_130331,0.5356,0.5118370056152344
P7100006,1.7224,1.6205787658691406
P7100009,3.0168,2.861499786376953
P7100026,3.752,3.668498992919922
P7100028,0.6479999999999999,0.6093978881835938
P7100036,0.9212,0.9059906005859375
P7100041,0.9995999999999999,0.945281982421875
P7100042,0.24880000000000002,0.22869110107421875
P7100049,3.5332000000000003,3.418254852294922
P7100065,3.7476000000000003,3.547191619873047
P7100067,0.2976,0.2838134765625
P7100084,0.8708,0.81939697265625
halimeda_10,0.0,0.0
halimeda_105,7.4136,7.231044769287109
halimeda_11,0.0,0.0
halimeda_110,9.3156,9.127140045166016
halimeda_111,9.2924,9.060001373291016
halimeda_126,24.496000000000002,24.379253387451172
halimeda_133,47.6636,47.53875732421875
halimeda_134,9.582799999999999,9.457588195800781
halimeda_14,0.0,0.0
halimeda_144,1.1428,1.0890960693359375
halimeda_146,0.0936,0.080108642578125
halimeda_155,3.0444,2.907085418701172
halimeda_157,2.7752,2.6645660400390625
halimeda_161,1.5208,1.424407958984375
halimeda_163,0.23479999999999998,0.21514892578125
halimeda_166,0.6856,0.6432533264160156
halimeda_184,3.0036,2.7930259704589844
halimeda_186,0.954,0.9030342102050781
halimeda_188,4.4956000000000005,4.198741912841797
halimeda_195,4.9444,4.754734039306641
halimeda_199,3.6255999999999995,3.433990478515625
halimeda_208,0.4288,0.3970146179199219
halimeda_212,3.6715999999999998,3.443431854248047
halimeda_213,6.5248,6.268024444580078
halimeda_221,1.926,1.89971923828125
halimeda_226,0.0,0.0
halimeda_23,3.7456000000000005,3.6754608154296875
halimeda_232,4.5868,4.3857574462890625
halimeda_241,0.104,0.09918212890625
halimeda_265,1.7399999999999998,1.6571998596191406
halimeda_268,2.872,2.784442901611328
halimeda_269,1.484,1.4081954956054688
halimeda_281,0.0,0.0
halimeda_288,0.0,0.0
halimeda_295,0.0,0.0
halimeda_30,2.8364000000000003,2.7268409729003906
halimeda_38,1.9396,1.8812179565429688
halimeda_41,2.3464,2.3120880126953125
halimeda_48,0.234,0.2109527587890625
halimeda_53,0.0,0.0
halimeda_56,0.8840000000000001,0.8376121520996094
halimeda_65,1.024,0.9386062622070312
halimeda_66,1.8756,1.7720222473144531
halimeda_68,5.2032,4.936885833740234
halimeda_70,13.1392,12.901973724365234
halimeda_74,1.4824,1.4014244079589844
halimeda_77,4.6108,4.411411285400391
halimeda_85,6.9792000000000005,6.747245788574219
halimeda_89,6.286,6.045722961425781
halimeda_98,2.8284,2.7469635009765625
halimeda_99,0.47359999999999997,0.4443168640136719
