               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.053406,            0.073685,                   0,             0.61004,             0.53509,             0.54403,             0.20583,            0.055166,            0.052432,                   0,           0.0027505,           0.0027505,           0.0027505
                  39,            0.051791,            0.064232,                   0,             0.63433,             0.54288,             0.55956,             0.20996,            0.053729,            0.051679,                   0,           0.0027357,           0.0027357,           0.0027357
                  40,            0.052712,            0.065145,                   0,             0.60965,             0.53996,             0.55053,              0.2006,             0.05487,            0.051866,                   0,           0.0027208,           0.0027208,           0.0027208
                  41,            0.054182,            0.063671,                   0,             0.61318,             0.55311,             0.56554,             0.21394,            0.053546,            0.052191,                   0,            0.002706,            0.002706,            0.002706
                  42,             0.05226,            0.067138,                   0,             0.61174,             0.55068,             0.55647,             0.21827,            0.053113,            0.051707,                   0,           0.0026911,           0.0026911,           0.0026911
                  43,            0.051474,            0.060907,                   0,             0.61895,             0.54094,             0.54108,             0.21559,            0.052695,            0.052279,                   0,           0.0026763,           0.0026763,           0.0026763
                  44,            0.050809,            0.062995,                   0,              0.6388,             0.53606,             0.56061,             0.21665,              0.0531,            0.052071,                   0,           0.0026615,           0.0026615,           0.0026615
                  45,            0.050174,            0.057513,                   0,             0.61505,             0.56238,             0.54706,             0.21498,            0.053003,             0.05222,                   0,           0.0026466,           0.0026466,           0.0026466
                  46,            0.050426,             0.06583,                   0,             0.62159,             0.55554,             0.56171,             0.20563,            0.053945,            0.051535,                   0,           0.0026317,           0.0026317,           0.0026317
                  47,            0.052367,            0.069604,                   0,             0.63048,             0.54873,             0.55766,             0.20958,            0.053276,             0.05235,                   0,           0.0026169,           0.0026169,           0.0026169
                  48,             0.05012,              0.0638,                   0,             0.58697,             0.53605,             0.52438,             0.18895,            0.055667,            0.053257,                   0,            0.002602,            0.002602,            0.002602
                  49,            0.051138,            0.064297,                   0,             0.57906,             0.56238,             0.53847,             0.19881,            0.054686,            0.052574,                   0,           0.0025872,           0.0025872,           0.0025872
                  50,            0.050148,            0.065661,                   0,             0.66416,              0.5653,             0.57275,             0.22123,            0.052832,            0.052462,                   0,           0.0025723,           0.0025723,           0.0025723
                  51,            0.049658,            0.059634,                   0,             0.65012,             0.56433,             0.56937,             0.22075,            0.052398,             0.05236,                   0,           0.0025575,           0.0025575,           0.0025575
                  52,            0.050036,            0.065166,                   0,             0.64404,             0.55372,             0.55829,             0.22164,             0.05235,            0.053037,                   0,           0.0025427,           0.0025427,           0.0025427
                  53,            0.049059,            0.056791,                   0,             0.62543,             0.57611,             0.57103,             0.22394,            0.052302,            0.053174,                   0,           0.0025278,           0.0025278,           0.0025278
                  54,            0.050242,             0.06031,                   0,             0.60005,             0.57407,             0.56371,             0.22253,            0.052625,            0.053365,                   0,           0.0025129,           0.0025129,           0.0025129
                  55,            0.049874,            0.063146,                   0,             0.58952,             0.57505,             0.54902,             0.20946,            0.054342,            0.052466,                   0,           0.0024981,           0.0024981,           0.0024981
                  56,            0.049251,            0.066102,                   0,             0.61218,             0.57505,              0.5595,             0.22484,            0.052185,            0.051913,                   0,           0.0024832,           0.0024832,           0.0024832
                  57,            0.050134,             0.06297,                   0,             0.60859,             0.54483,             0.52827,              0.2073,            0.054292,            0.053201,                   0,           0.0024684,           0.0024684,           0.0024684
                  58,            0.048511,            0.061416,                   0,              0.6072,             0.57101,             0.55299,             0.21784,            0.052776,            0.053103,                   0,           0.0024536,           0.0024536,           0.0024536
                  59,            0.048551,            0.067133,                   0,             0.62532,             0.54971,              0.5528,             0.21718,            0.053143,            0.053248,                   0,           0.0024387,           0.0024387,           0.0024387
                  60,            0.047636,            0.059512,                   0,             0.63134,             0.54081,             0.56039,             0.21699,            0.053171,            0.053558,                   0,           0.0024238,           0.0024238,           0.0024238
                  61,            0.048455,            0.059186,                   0,             0.63023,             0.52924,             0.54901,             0.21921,            0.052818,            0.053801,                   0,            0.002409,            0.002409,            0.002409
                  62,            0.048589,            0.068755,                   0,             0.63804,             0.52402,             0.54098,             0.21257,            0.052876,            0.053582,                   0,           0.0023942,           0.0023942,           0.0023942
                  63,            0.047333,            0.059449,                   0,              0.6267,              0.5575,             0.56279,             0.21589,             0.05274,            0.053248,                   0,           0.0023793,           0.0023793,           0.0023793
                  64,            0.047694,            0.061248,                   0,             0.62119,              0.5614,             0.56133,              0.2182,            0.052684,             0.05323,                   0,           0.0023645,           0.0023645,           0.0023645
                  65,            0.046918,             0.05947,                   0,             0.60549,             0.56043,              0.5506,             0.21718,            0.052999,            0.053292,                   0,           0.0023496,           0.0023496,           0.0023496
                  66,            0.045726,            0.058844,                   0,               0.632,             0.52924,             0.54986,             0.21439,            0.053904,            0.053096,                   0,           0.0023348,           0.0023348,           0.0023348
                  67,            0.047145,             0.06185,                   0,             0.61895,             0.56203,             0.56028,             0.21889,            0.053818,             0.05308,                   0,           0.0023199,           0.0023199,           0.0023199
                  68,            0.047596,            0.059904,                   0,             0.58722,              0.5158,             0.52154,             0.20267,            0.055542,            0.054365,                   0,            0.002305,            0.002305,            0.002305
                  69,            0.046595,            0.061187,                   0,             0.61322,             0.54873,              0.5418,             0.20869,            0.053592,            0.054796,                   0,           0.0022902,           0.0022902,           0.0022902
                  70,            0.049121,            0.066731,                   0,             0.63113,             0.52864,             0.55675,             0.21543,            0.053678,            0.053934,                   0,           0.0022754,           0.0022754,           0.0022754
                  71,             0.04578,            0.057133,                   0,             0.60594,             0.55068,             0.55283,             0.21662,            0.053268,            0.053822,                   0,           0.0022605,           0.0022605,           0.0022605
                  72,            0.046455,            0.054315,                   0,             0.64949,             0.55263,             0.57287,             0.22664,            0.052214,            0.053802,                   0,           0.0022457,           0.0022457,           0.0022457
                  73,            0.046348,            0.065354,                   0,             0.63101,             0.56335,              0.5633,             0.22143,            0.052816,             0.05391,                   0,           0.0022308,           0.0022308,           0.0022308
                  74,            0.046408,            0.058633,                   0,             0.60699,             0.51559,              0.5374,             0.20807,            0.054094,            0.054483,                   0,           0.0022159,           0.0022159,           0.0022159
                  75,            0.047611,             0.06124,                   0,             0.60184,             0.56335,             0.55538,             0.21561,            0.053245,            0.054226,                   0,           0.0022011,           0.0022011,           0.0022011
                  76,            0.047178,            0.061835,                   0,             0.60086,              0.5653,             0.55096,             0.22112,            0.052487,            0.053981,                   0,           0.0021862,           0.0021862,           0.0021862
                  77,            0.046088,            0.056978,                   0,             0.60027,             0.53216,             0.54469,             0.21038,            0.054071,            0.054614,                   0,           0.0021714,           0.0021714,           0.0021714
                  78,            0.045109,            0.054181,                   0,             0.61132,             0.53704,             0.53842,             0.21891,            0.053474,            0.055453,                   0,           0.0021565,           0.0021565,           0.0021565
                  79,            0.046275,            0.061118,                   0,             0.59183,             0.53704,             0.52267,             0.20286,             0.05444,            0.055109,                   0,           0.0021417,           0.0021417,           0.0021417
                  80,            0.045939,            0.056814,                   0,             0.61265,             0.53899,             0.53141,              0.2097,            0.052886,            0.055253,                   0,           0.0021269,           0.0021269,           0.0021269
                  81,            0.045664,            0.052049,                   0,              0.6368,             0.51267,             0.53641,             0.20937,             0.05316,            0.055791,                   0,            0.002112,            0.002112,            0.002112
