               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.043259,            0.080184,                   0,             0.60175,             0.53771,             0.55243,             0.20796,            0.057677,              0.1171,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.043876,            0.082889,                   0,             0.66446,             0.49628,             0.51614,             0.22796,            0.056502,             0.12172,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.043745,            0.084218,                   0,             0.63145,             0.57112,             0.55525,             0.22145,             0.05478,             0.11304,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.043476,             0.07579,                   0,             0.61614,             0.54258,             0.53988,             0.21209,            0.056469,             0.11221,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.04275,            0.079677,                   0,             0.60978,             0.51825,             0.53593,             0.20891,            0.057903,             0.11703,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.040841,            0.073907,                   0,              0.5807,             0.55961,             0.53012,             0.21112,             0.05606,             0.11875,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.043307,            0.080668,                   0,             0.64071,             0.52555,             0.55528,             0.21747,            0.055124,             0.11332,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.040627,            0.080992,                   0,             0.60722,             0.56204,             0.54641,             0.22876,            0.055057,             0.11597,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.043372,            0.073566,                   0,             0.61711,             0.52311,             0.52461,             0.17446,            0.058894,             0.12265,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.042461,            0.079842,                   0,             0.57559,             0.54988,             0.53227,             0.21066,            0.056457,              0.1197,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.041855,            0.076965,                   0,             0.58943,             0.53528,             0.55083,             0.21373,            0.055769,             0.11924,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.041274,            0.074312,                   0,             0.65101,             0.51288,             0.52441,             0.20055,            0.056839,             0.12138,                   0,            0.007624,            0.007624,            0.007624
                  50,             0.04231,             0.07654,                   0,              0.6041,             0.48418,              0.4836,             0.17559,             0.05978,             0.12329,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.042178,            0.074137,                   0,             0.57318,             0.53528,             0.50954,             0.19795,            0.057095,             0.12383,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.040076,            0.072893,                   0,             0.56179,             0.54015,             0.52799,             0.20999,            0.057589,             0.12098,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.040557,            0.070744,                   0,             0.61667,             0.51667,             0.52843,             0.20796,            0.057921,             0.12203,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.039482,            0.069307,                   0,             0.60208,             0.49878,             0.51561,             0.19606,            0.059004,             0.12551,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.040587,            0.074802,                   0,             0.61373,             0.54258,             0.53032,             0.21189,            0.057052,             0.12244,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.038647,            0.068286,                   0,             0.60283,             0.52798,               0.511,              0.2013,            0.059599,             0.12523,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.039932,            0.071611,                   0,             0.61359,                0.51,             0.50329,             0.18723,            0.060323,             0.12554,                   0,            0.007228,            0.007228,            0.007228
                  58,             0.03913,            0.072383,                   0,             0.63485,             0.52798,              0.5109,             0.20466,            0.057267,             0.12227,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.038303,            0.066902,                   0,             0.60821,             0.52501,             0.51585,             0.19634,            0.059161,             0.12015,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.038185,             0.06958,                   0,             0.59923,             0.52068,             0.52625,             0.20179,            0.059327,             0.12795,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.038504,            0.068543,                   0,             0.61531,              0.5137,             0.52726,             0.20889,            0.058507,             0.13064,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.037742,            0.068206,                   0,             0.67349,             0.48418,             0.52285,             0.21132,            0.057418,             0.12957,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.037462,            0.062078,                   0,             0.57319,             0.54015,             0.52086,             0.20361,            0.059098,             0.13191,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.036304,            0.065892,                   0,             0.66943,             0.50259,             0.52383,             0.20572,             0.05775,             0.13172,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.036438,             0.06572,                   0,             0.61045,             0.48423,             0.48987,             0.18441,            0.059946,             0.13865,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.035964,            0.068634,                   0,              0.6275,             0.50414,             0.50642,             0.20704,            0.058313,             0.14184,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,             0.03465,             0.06733,                   0,             0.65473,             0.50122,             0.53306,              0.2099,            0.057353,             0.12802,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.034952,            0.069564,                   0,             0.63909,             0.50365,             0.50485,              0.2092,            0.057069,             0.13675,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.036903,            0.064123,                   0,             0.57571,             0.50122,             0.50832,             0.20118,            0.057965,              0.1301,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.036813,            0.066126,                   0,             0.52221,             0.55718,             0.49302,             0.18942,            0.059464,             0.12794,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.036468,            0.064833,                   0,             0.57488,             0.54618,              0.5105,             0.21007,            0.056807,             0.12899,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.033759,             0.06107,                   0,             0.53039,             0.54135,             0.47682,             0.18521,            0.059681,             0.12625,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.035601,             0.06268,                   0,             0.53958,             0.55231,             0.51599,             0.19346,            0.059474,             0.13149,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.035619,            0.063057,                   0,             0.56336,             0.54745,             0.51321,             0.19875,            0.058141,             0.13573,                   0,           0.0063865,           0.0063865,           0.0063865
