gt all test,,,,od all test,,,,,,SS all test,,,,,,w_merge,,,,,,AUC MERGE,,,,
,cov_grid,cov_pix,,,cov_grid,cov_pix,diff,abs_diff,,,cov_grid,cov_pix,diff,abs_diff,,,cov_grid,cov_pix,diff,abs_diff,,,cov_grid,cov_pix,diff,abs_diff
DSCN0132_gt,38.9131546,38.9131546,,DSCN0132_cov,19.95458603,19.95458603,-18.95856857,18.95856857,,DSCN0132_grey,50.87442398,50.87442398,11.96126938,11.96126938,,DSCN0132_cov,46.40569687,46.40569687,7.492542269,7.492542269,,DSCN0132_grey,50.48465729,50.48465729,11.57150269,11.57150269
DSCN0156_gt,35.83059311,35.83059311,,DSCN0156_cov,9.218978882,9.218978882,-26.61161423,26.61161423,,DSCN0156_grey,53.94239426,53.94239426,18.11180115,18.11180115,,DSCN0156_cov,46.02804184,46.02804184,10.19744873,10.19744873,,DSCN0156_grey,44.07548904,44.07548904,8.24489593,8.24489593
DSCN0161_gt,82.93361664,82.93361664,,DSCN0161_cov,3.468132019,3.468132019,-79.46548462,79.46548462,,DSCN0161_grey,98.26564789,98.26564789,15.33203125,15.33203125,,DSCN0161_cov,95.46556473,95.46556473,12.53194809,12.53194809,,DSCN0161_grey,98.06213379,98.06213379,15.12851715,15.12851715
DSCN0177_gt,44.00873184,44.00873184,,DSCN0177_cov,6.574821472,6.574821472,-37.43391037,37.43391037,,DSCN0177_grey,45.45583725,45.45583725,1.44710541,1.44710541,,DSCN0177_cov,36.48452759,36.48452759,-7.524204252,7.524204252,,DSCN0177_grey,41.2612915,41.2612915,-2.74744034,2.74744034
DSCN0183_gt,23.68078232,23.68078232,,DSCN0183_cov,6.094932556,6.094932556,-17.58584976,17.58584976,,DSCN0183_grey,32.94172287,32.94172287,9.26094055,9.26094055,,DSCN0183_cov,51.28889084,51.28889084,27.60810852,27.60810852,,DSCN0183_grey,29.69551086,29.69551086,6.01472854,6.01472854
DSCN0189_gt,52.94656754,52.94656754,,DSCN0189_cov,10.09664536,10.09664536,-42.84992218,42.84992218,,DSCN0189_grey,60.42470932,60.42470932,7.47814178,7.47814178,,DSCN0189_cov,55.28593063,55.28593063,2.339363094,2.339363094,,DSCN0189_grey,57.19518661,57.19518661,4.24861907,4.24861907
DSCN0194_gt,65.82622528,65.82622528,,DSCN0194_cov,4.288768768,4.288768768,-61.53745651,61.53745651,,DSCN0194_grey,77.21681595,77.21681595,11.39059067,11.39059067,,DSCN0194_cov,67.36593246,67.36593246,1.539707185,1.539707185,,DSCN0194_grey,76.11980438,76.11980438,10.2935791,10.2935791
DSCN0200_gt,28.08923721,28.08923721,,DSCN0200_cov,5.837249756,5.837249756,-22.25198745,22.25198745,,DSCN0200_grey,41.65735245,41.65735245,13.56811524,13.56811524,,DSCN0200_cov,34.24329758,34.24329758,6.154060367,6.154060367,,DSCN0200_grey,34.36050415,34.36050415,6.27126694,6.27126694
DSCN0202_gt,48.62470627,48.62470627,,DSCN0202_cov,6.623458862,6.623458862,-42.00124741,42.00124741,,DSCN0202_grey,56.15921021,56.15921021,7.53450394,7.53450394,,DSCN0202_cov,48.83613586,48.83613586,0.211429594,0.211429594,,DSCN0202_grey,52.96220779,52.96220779,4.33750152,4.33750152
DSCN0203_gt,67.91095734,67.91095734,,DSCN0203_cov,13.00563812,13.00563812,-54.90531922,54.90531922,,DSCN0203_grey,73.33269119,73.33269119,5.42173385,5.42173385,,DSCN0203_cov,65.93418121,65.93418121,-1.976776127,1.976776127,,DSCN0203_grey,71.97732925,71.97732925,4.06637191,4.06637191
DSCN0212_gt,48.14043045,48.14043045,,DSCN0212_cov,5.09557724,5.09557724,-43.04485321,43.04485321,,DSCN0212_grey,53.76605988,53.76605988,5.62562943,5.62562943,,DSCN0212_cov,47.43204117,47.43204117,-0.708389282,0.708389282,,DSCN0212_grey,51.32055283,51.32055283,3.18012238,3.18012238
DSCN0215_gt,76.16014481,76.16014481,,DSCN0215_cov,16.61376953,16.61376953,-59.54637528,59.54637528,,DSCN0215_grey,71.82092667,71.82092667,-4.33921814,4.33921814,,DSCN0215_cov,66.68863297,66.68863297,-9.471511845,9.471511845,,DSCN0215_grey,65.75222015,65.75222015,-10.40792466,10.40792466
DSCN0218_gt,63.04883957,63.04883957,,DSCN0218_cov,4.824447632,4.824447632,-58.22439194,58.22439194,,DSCN0218_grey,84.43145752,84.43145752,21.38261795,21.38261795,,DSCN0218_cov,78.12147141,78.12147141,15.07263184,15.07263184,,DSCN0218_grey,83.51812363,83.51812363,20.46928406,20.46928406
DSCN0221_gt,53.52945328,53.52945328,,DSCN0221_cov,10.79435349,10.79435349,-42.73509979,42.73509979,,DSCN0221_grey,73.64025116,73.64025116,20.11079788,20.11079788,,DSCN0221_cov,69.50931549,69.50931549,15.97986221,15.97986221,,DSCN0221_grey,71.80566788,71.80566788,18.2762146,18.2762146
DSCN0229_gt,100,100,,DSCN0229_cov,14.01367188,14.01367188,-85.98632812,85.98632812,,DSCN0229_grey,98.9941597,98.9941597,-1.0058403,1.0058403,,DSCN0229_cov,95.80020905,95.80020905,-4.199790955,4.199790955,,DSCN0229_grey,98.8494873,98.8494873,-1.1505127,1.1505127
DSCN0231_gt,86.10925674,86.10925674,,DSCN0231_cov,3.60212326,3.60212326,-82.50713348,82.50713348,,DSCN0231_grey,97.01280594,97.01280594,10.9035492,10.9035492,,DSCN0231_cov,92.39292145,92.39292145,6.283664708,6.283664708,,DSCN0231_grey,96.69790268,96.69790268,10.58864594,10.58864594
DSCN0253_gt,31.57310486,31.57310486,,DSCN0253_cov,5.271625519,5.271625519,-26.30147934,26.30147934,,DSCN0253_grey,53.76424789,53.76424789,22.19114303,22.19114303,,DSCN0253_cov,47.0035553,47.0035553,15.43045044,15.43045044,,DSCN0253_grey,50.85735321,50.85735321,19.28424835,19.28424835
DSCN0259_gt,93.69096756,93.69096756,,DSCN0259_cov,20.90644836,20.90644836,-72.7845192,72.7845192,,DSCN0259_grey,97.88093567,97.88093567,4.18996811,4.18996811,,DSCN0259_cov,97.00345993,97.00345993,3.31249237,3.31249237,,DSCN0259_grey,98.30236435,98.30236435,4.61139679,4.61139679
DSCN0274_gt,66.66002274,66.66002274,,DSCN0274_cov,2.371025085,2.371025085,-64.28899766,64.28899766,,DSCN0274_grey,97.58043289,97.58043289,30.92041015,30.92041015,,DSCN0274_cov,93.48907471,93.48907471,26.82905197,26.82905197,,DSCN0274_grey,97.03788757,97.03788757,30.37786483,30.37786483
DSCN0286_gt,18.68619919,18.68619919,,DSCN0286_cov,17.22297668,17.22297668,-1.46322251,1.46322251,,DSCN0286_grey,17.63734818,17.63734818,-1.04885101,1.04885101,,DSCN0286_cov,24.14560318,24.14560318,5.45940399,5.45940399,,DSCN0286_grey,23.60725403,23.60725403,4.92105484,4.92105484
DSCN0301_gt,12.58792877,12.58792877,,DSCN0301_cov,7.140159607,7.140159607,-5.447769163,5.447769163,,DSCN0301_grey,12.21075058,12.21075058,-0.37717819,0.37717819,,DSCN0301_cov,12.29829788,12.29829788,-0.289630888,0.289630888,,DSCN0301_grey,11.65533066,11.65533066,-0.93259811,0.93259811
DSCN0303_gt,13.63983154,13.63983154,,DSCN0303_cov,6.93693161,6.93693161,-6.70289993,6.70289993,,DSCN0303_grey,14.85586166,14.85586166,1.21603012,1.21603012,,DSCN0303_cov,12.55779266,12.55779266,-1.082038876,1.082038876,,DSCN0303_grey,14.50777054,14.50777054,0.867939,0.867939
G0074875_gt,96.62408829,96.62408829,,G0074875_cov,0.358486176,0.358486176,-96.26560211,96.26560211,,G0074875_grey,86.76357269,86.76357269,-9.8605156,9.8605156,,G0074875_cov,76.88083649,76.88083649,-19.7432518,19.7432518,,G0074875_grey,85.40077209,85.40077209,-11.2233162,11.2233162
P7100016_gt,20.30649185,20.30649185,,P7100016_cov,5.91917038,5.91917038,-14.38732147,14.38732147,,P7100016_grey,7.99036026,7.99036026,-12.31613159,12.31613159,,P7100016_cov,11.03239059,11.03239059,-9.274101256,9.274101256,,P7100016_grey,7.565975189,7.565975189,-12.74051666,12.74051666
P7100021_cov,0.220680237,0.220680237,,P7100021_cov,0.180053711,0.180053711,-0.040626526,0.040626526,,P7100021_grey,0.114440918,0.114440918,-0.106239319,0.106239319,,P7100021_cov,0.241756439,0.241756439,0.021076202,0.021076202,,P7100021_grey,0.183773041,0.183773041,-0.036907196,0.036907196
P7100022_cov,0,0,,P7100022_cov,0.607776642,0.607776642,0.607776642,0.607776642,,P7100022_grey,0.145053864,0.145053864,0.145053864,0.145053864,,P7100022_cov,0.877380371,0.877380371,0.877380371,0.877380371,,P7100022_grey,0.607204437,0.607204437,0.607204437,0.607204437
P7100032_cov,4.185771942,4.185771942,,P7100032_cov,4.707336426,4.707336426,0.521564484,0.521564484,,P7100032_grey,5.338096619,5.338096619,1.152324677,1.152324677,,P7100032_cov,5.599021912,5.599021912,1.41324997,1.41324997,,P7100032_grey,5.141639709,5.141639709,0.955867767,0.955867767
P7100033_cov,0.070285797,0.070285797,,P7100033_cov,0.057220459,0.057220459,-0.013065338,0.013065338,,P7100033_grey,8.895206451,8.895206451,8.824920654,8.824920654,,P7100033_cov,6.055450439,6.055450439,5.985164642,5.985164642,,P7100033_grey,0.057220459,0.057220459,-0.013065338,0.013065338
P7100034_gt,6.761550903,6.761550903,,P7100034_cov,7.883930206,7.883930206,1.122379303,1.122379303,,P7100034_grey,5.606174469,5.606174469,-1.155376434,1.155376434,,P7100034_cov,8.714199066,8.714199066,1.952648163,1.952648163,,P7100034_grey,8.288860321,8.288860321,1.527309418,1.527309418
P7100035_cov,2.505683899,2.505683899,,P7100035_cov,4.0350914,4.0350914,1.529407501,1.529407501,,P7100035_grey,8.014774323,8.014774323,5.509090424,5.509090424,,P7100035_cov,8.3568573,8.3568573,5.851173401,5.851173401,,P7100035_grey,4.091835022,4.091835022,1.586151123,1.586151123
P7100040_cov,1.725101471,1.725101471,,P7100040_cov,1.38092041,1.38092041,-0.344181061,0.344181061,,P7100040_grey,3.424072266,3.424072266,1.698970795,1.698970795,,P7100040_cov,2.512073517,2.512073517,0.786972046,0.786972046,,P7100040_grey,1.38092041,1.38092041,-0.344181061,0.344181061
P7100048_cov,1.192855835,1.192855835,,P7100048_cov,1.641654968,1.641654968,0.448799133,0.448799133,,P7100048_grey,3.25012207,3.25012207,2.057266235,2.057266235,,P7100048_cov,3.04107666,3.04107666,1.848220825,1.848220825,,P7100048_grey,1.699447632,1.699447632,0.506591797,0.506591797
P7100053_cov,1.693630219,1.693630219,,P7100053_cov,1.771640778,1.771640778,0.078010559,0.078010559,,P7100053_grey,2.527523041,2.527523041,0.833892822,0.833892822,,P7100053_cov,2.908229828,2.908229828,1.214599609,1.214599609,,P7100053_grey,1.83839798,1.83839798,0.144767761,0.144767761
P7100070_cov,0.765228271,0.765228271,,P7100070_cov,0.758361816,0.758361816,-0.006866455,0.006866455,,P7100070_grey,3.788566589,3.788566589,3.023338318,3.023338318,,P7100070_cov,2.718448639,2.718448639,1.953220368,1.953220368,,P7100070_grey,0.898075104,0.898075104,0.132846833,0.132846833
P7100072_cov,1.082801819,1.082801819,,P7100072_cov,1.207065582,1.207065582,0.124263763,0.124263763,,P7100072_grey,0.888442993,0.888442993,-0.194358826,0.194358826,,P7100072_cov,1.24540329,1.24540329,0.162601471,0.162601471,,P7100072_grey,1.230621338,1.230621338,0.147819519,0.147819519
P7100075_cov,3.775119781,3.775119781,,P7100075_cov,3.532028198,3.532028198,-0.243091583,0.243091583,,P7100075_grey,5.658245087,5.658245087,1.883125306,1.883125306,,P7100075_cov,6.174373627,6.174373627,2.399253846,2.399253846,,P7100075_grey,3.771591187,3.771591187,-0.003528594,0.003528594
P7100085_cov,0.573348999,0.573348999,,P7100085_cov,0.894641876,0.894641876,0.321292877,0.321292877,,P7100085_grey,6.306171417,6.306171417,5.732822418,5.732822418,,P7100085_cov,3.10716629,3.10716629,2.533817291,2.533817291,,P7100085_grey,0.903701782,0.903701782,0.330352783,0.330352783
P7100089_cov,0.316333771,0.316333771,,P7100089_cov,0.62046051,0.62046051,0.304126739,0.304126739,,P7100089_grey,5.788326263,5.788326263,5.471992492,5.471992492,,P7100089_cov,2.365112305,2.365112305,2.048778534,2.048778534,,P7100089_grey,0.62046051,0.62046051,0.304126739,0.304126739
P7120097_cov,1.014709473,1.014709473,,P7120097_cov,1.037979126,1.037979126,0.023269653,0.023269653,,P7120097_grey,0.845527649,0.845527649,-0.169181824,0.169181824,,P7120097_cov,1.098442078,1.098442078,0.083732605,0.083732605,,P7120097_grey,1.107025146,1.107025146,0.092315673,0.092315673
