gt all test,,,,od all test,,,,,,SS all test,,,,,,w_merge,,,,,,AUC MERGE,,,,
ID,cov_grid,cov_pix,,ID,cov_grid,cov_pix,diff,abs_diff,,ID,cov_grid,cov_pix,diff,abs_diff,,ID,cov_grid,cov_pix,diff,abs_diff,,ID,cov_grid,cov_pix,diff,abs_diff
20230710_102342_cov,1.746749878,1.746749878,,20230710_102342,4.312,4.209518433,2.462768555,2.462768555,,20230710_102342_grey,33.73060226,33.73060226,31.98385238,31.98385238,,20230710_102342_cov,24.0444,22.91469574,21.16794586,21.16794586,,20230710_102342_grey,1.2468,1.208591461,0.538158417,0.538158417
20230710_104109_cov,0.416564941,0.416564941,,20230710_104109,11.4516,11.38505936,10.96849442,10.96849442,,20230710_104109_grey,64.55211639,64.55211639,64.13555145,64.13555145,,20230710_104109_cov,54.3252,53.06015015,52.64358521,52.64358521,,20230710_104109_grey,0.3136,0.304412842,0.112152099,0.112152099
20230710_123436_cov,0.960350037,0.960350037,,20230710_123436,14.3392,14.25228119,13.29193115,13.29193115,,20230710_123436_grey,4.731845856,4.731845856,3.771495819,3.771495819,,20230710_123436_cov,3.3248,3.104400635,2.144050598,2.144050598,,20230710_123436_grey,0.9392,0.894546509,0.065803528,0.065803528
20230710_123536_cov,1.715087891,1.715087891,,20230710_123536,19.4196,19.27394867,17.55886078,17.55886078,,20230710_123536_grey,34.77945328,34.77945328,33.06436539,33.06436539,,20230710_123536_cov,27.5708,26.55057907,24.83549118,24.83549118,,20230710_123536_grey,1.708,1.668167114,0.046920777,0.046920777
20230710_123540_cov,0.336456299,0.336456299,,20230710_123540,10.9648,10.92357635,10.58712006,10.58712006,,20230710_123540_grey,7.243824005,7.243824005,6.907367706,6.907367706,,20230710_123540_cov,4.9732,4.633617401,4.297161102,4.297161102,,20230710_123540_grey,0.3496,0.326156616,0.010299683,0.010299683
20230710_130053_cov,0.933265686,0.933265686,,20230710_130053,8.1688,8.095359802,7.162094116,7.162094116,,20230710_130053_grey,4.631137848,4.631137848,3.697872162,3.697872162,,20230710_130053_cov,2.7272,2.497673035,1.564407349,1.564407349,,20230710_130053_grey,1.2272,1.191425323,-0.258159637,0.258159637
20230710_130203_gt,16.45431519,16.45431519,,20230710_130203,65.3844,65.12479782,48.67048263,48.67048263,,20230710_130203_grey,22.7101326,22.7101326,6.25581741,6.25581741,,20230710_130203_cov,23.3084,22.6682663,6.213951106,6.213951106,,20230710_130203_grey,23.1408,22.69983292,-6.245517726,6.245517726
20230710_130337_cov,2.987289429,2.987289429,,20230710_130337,3.9404,3.894901276,0.907611847,0.907611847,,20230710_130337_grey,2.219676971,2.219676971,-0.767612458,0.767612458,,20230710_130337_cov,2.7216,2.672672272,-0.314617157,0.314617157,,20230710_130337_grey,2.58,2.568054199,0.41923523,0.41923523
DSCN0021_gt,40.43083191,40.43083191,,DSCN0021,49.6384,49.24097061,8.810138702,8.810138702,,DSCN0021_grey,38.62714767,38.62714767,-1.80368424,1.80368424,,DSCN0021_cov,36.024,35.15701294,-5.273818971,5.273818971,,DSCN0021_grey,35.7124,35.25590897,5.174922944,5.174922944
DSCN0023_gt,33.60347748,33.60347748,,DSCN0023,45.072,44.52056885,10.91709137,10.91709137,,DSCN0023_grey,47.46599197,47.46599197,13.86251449,13.86251449,,DSCN0023_cov,43.3408,42.39063263,8.787155149,8.787155149,,DSCN0023_grey,46.8732,46.32339478,-12.7199173,12.7199173
