,cov_grid,cov_pix
P9290717_cov,84.9808,84.09347534179688
P9290719_cov,93.90119999999999,93.22843551635742
P9290729_cov,55.8416,54.9652099609375
P9290732_cov,41.8748,41.16363525390625
P9290733_cov,50.8628,50.26369094848633
P9290745_cov,50.7552,49.44906234741211
P9290746_cov,47.1456,45.8897590637207
P9290750_cov,62.6316,62.08982467651367
P9290755_cov,55.2812,54.152488708496094
P9290756_cov,94.5812,94.06490325927734
PA210060_cov,77.3324,76.27725601196289
PA210086_cov,63.2032,62.01763153076172
PA210087_cov,63.7088,62.690067291259766
PA210131_cov,52.459999999999994,51.09691619873047
PA210144_cov,25.831599999999998,24.604415893554688
PA210186_cov,78.6076,77.57081985473633
PA210191_cov,71.8844,70.7249641418457
PA210193_cov,67.4952,66.45421981811523
PA210194_cov,52.8508,51.683712005615234
PA210272_cov,58.721599999999995,57.43217468261719
background_h_49_cov,0.6387999999999999,0.618743896484375
background_h_55_cov,8.1832,7.823371887207031
bckgrnd_30546_cov,4.0352,3.757953643798828
bio_P9172058_cov,55.9752,55.02185821533203
hali_web_3_cov,64.2352,63.14401626586914
halimeda_103_cov,13.7292,12.63132095336914
halimeda_104_cov,22.0148,21.028709411621094
halimeda_107_cov,8.8808,8.533954620361328
halimeda_113_cov,24.5984,23.74553680419922
halimeda_115_cov,35.256,33.34083557128906
halimeda_125_cov,71.1372,70.8627700805664
halimeda_139_cov,67.3284,66.32604598999023
halimeda_140_cov,51.471999999999994,50.751590728759766
halimeda_154_cov,3.4404,3.1780242919921875
halimeda_174_cov,6.92,6.53228759765625
halimeda_177_cov,7.8208,7.325172424316406
halimeda_192_cov,6.548800000000001,6.166553497314453
halimeda_200_cov,1.328,1.2349128723144531
halimeda_201_cov,1.4792,1.3807296752929688
halimeda_206_cov,2.766,2.6579856872558594
halimeda_20_cov,7.3392,7.0148468017578125
halimeda_217_cov,5.3044,4.996681213378906
halimeda_219_cov,3.9516000000000004,3.8306236267089844
halimeda_230_cov,4.718,4.480838775634766
halimeda_236_cov,1.5952000000000002,1.4861106872558594
halimeda_237_cov,12.5036,11.916637420654297
halimeda_238_cov,8.9492,8.587932586669922
halimeda_24_cov,5.3664000000000005,5.1555633544921875
halimeda_252_cov,16.8884,16.219615936279297
halimeda_254_cov,19.7932,18.533611297607422
halimeda_25_cov,2.0552,2.000904083251953
