,cov_grid,cov_pix
P9290717_grey,90.30160000000001,89.8611068725586
P9290719_grey,97.7684,97.61238098144531
P9290729_grey,58.8348,58.406639099121094
P9290732_grey,44.129200000000004,43.7891960144043
P9290733_grey,54.2376,54.01325225830078
P9290745_grey,57.4596,56.85997009277344
P9290746_grey,55.2472,54.697608947753906
P9290750_grey,64.4916,64.30025100708008
P9290755_grey,61.881600000000006,61.438941955566406
P9290756_grey,98.18679999999999,98.0325698852539
PA210060_grey,79.694,79.21209335327148
PA210086_grey,65.1836,64.54668045043945
PA210087_grey,63.6964,63.13962936401367
PA210131_grey,54.7592,54.0196418762207
PA210144_grey,21.248,20.690250396728516
PA210186_grey,81.0888,80.6187629699707
PA210191_grey,73.162,72.55592346191406
PA210193_grey,69.618,69.06204223632812
PA210194_grey,56.5036,55.83600997924805
PA210272_grey,62.1368,61.4659309387207
background_h_49_grey,0.0,0.0
background_h_55_grey,0.0,0.0
bckgrnd_30546_grey,0.0,0.0
bio_P9172058_grey,57.272800000000004,56.67695999145508
hali_web_3_grey,65.3344,64.64338302612305
halimeda_103_grey,2.7888,2.668285369873047
halimeda_104_grey,12.4704,12.194347381591797
halimeda_107_grey,8.1876,7.963275909423828
halimeda_113_grey,24.677599999999998,24.219131469726562
halimeda_115_grey,39.7352,38.79861831665039
halimeda_125_grey,71.0136,70.77722549438477
halimeda_139_grey,71.10640000000001,70.52202224731445
halimeda_140_grey,0.7252,0.6992340087890625
halimeda_154_grey,2.4903999999999997,2.4240493774414062
halimeda_174_grey,6.0344,5.820274353027344
halimeda_177_grey,6.574000000000001,6.315040588378906
halimeda_192_grey,2.2476,2.148914337158203
halimeda_200_grey,0.7343999999999999,0.6910324096679688
halimeda_201_grey,1.4756,1.4129638671875
halimeda_206_grey,2.5244,2.4588584899902344
halimeda_20_grey,7.178800000000001,6.981849670410156
halimeda_217_grey,4.7627999999999995,4.5688629150390625
halimeda_219_grey,3.8784,3.7750244140625
halimeda_230_grey,2.0632,2.0050048828125
halimeda_236_grey,0.1792,0.1739501953125
halimeda_237_grey,0.0,0.0
halimeda_238_grey,3.2264,3.1757354736328125
halimeda_24_grey,4.5612,4.445648193359375
halimeda_252_grey,3.634,3.529834747314453
halimeda_254_grey,12.385200000000001,11.897754669189453
halimeda_25_grey,2.2548,2.2118568420410156
halimeda_264_grey,26.854,26.131534576416016
halimeda_273_grey,8.224,7.962894439697266
halimeda_277_grey,0.0,0.0
halimeda_282_grey,0.0,0.0
halimeda_291_grey,0.0,0.0
halimeda_31_SS_grey,0.136,0.12645721435546875
halimeda_31_grey,18.8976,18.175506591796875
halimeda_33_grey,47.2784,46.74053192138672
halimeda_3_grey,2.8472,2.7723312377929688
halimeda_47_grey,1.0948,1.0582923889160156
halimeda_50_grey,1.7144,1.644134521484375
halimeda_52_grey,3.8232000000000004,3.7238121032714844
halimeda_61_grey,15.1872,14.952659606933594
halimeda_71_grey,1.9264,1.8192291259765625
halimeda_81_grey,12.7644,12.47091293334961
halimeda_87_grey,14.8848,14.492225646972656
halimeda_88_grey,9.1836,8.88071060180664
halimeda_8_grey,0.0,0.0
halimeda_92_grey,34.6548,33.873558044433594
halimeda_9_grey,0.0,0.0
rsz_PA210097_grey,63.122,62.346839904785156
